Sentence,Type,Factual/Subjective,Sentiment
"Strawberries have 200 seeds.",Affirmation,Factual,Neutral
"Traffic jams test my patience.",Affirmation,Subjective,Anger
"Human eyes see 10 million colors.",Affirmation,Factual,Neutral
"Forest walks ground me.",Affirmation,Subjective,Neutral
"Saturn's rings are ice particles.",Affirmation,Factual,Neutral
"Chronic lateness irritates me.",Affirmation,Subjective,Anger
"Lobsters show negligible senescence.",Affirmation,Factual,Neutral
"Unconditional love sustains me.",Affirmation,Subjective,Happiness
"Lightning strikes 8 million times/day.",Affirmation,Factual,Neutral
"Unkept promises disappoint me.",Affirmation,Subjective,Sadness
"Glass flows over centuries.",Affirmation,Factual,Neutral
"Morning yoga centers my being.",Affirmation,Subjective,Neutral
"Vocal cords vibrate 100-1000Hz.",Affirmation,Factual,Neutral
"Wasted potential saddens me.",Affirmation,Subjective,Sadness
"Oysters change gender.",Affirmation,Factual,Neutral
"Winter holidays excite me!",Affirmation,Subjective,Euphoria
"Human gut contains 2kg bacteria.",Affirmation,Factual,Neutral
"Mindless consumerism bothers me.",Affirmation,Subjective,Anger
"Kangaroos can't walk backward.",Negation,Factual,Neutral
"Family traditions anchor me.",Affirmation,Subjective,Happiness
"Sunflowers track sunlight.",Affirmation,Factual,Neutral
"Unresolved conflicts eat at me.",Affirmation,Subjective,Sadness
"Venus rotates clockwise.",Affirmation,Factual,Neutral
"Art museums inspire wonder.",Affirmation,Subjective,Euphoria
"Human brain generates 25 watts.",Affirmation,Factual,Neutral
"Unreliable Wi-Fi frustrates me.",Affirmation,Subjective,Anger
"Tears have different compositions.",Affirmation,Factual,Neutral
"Morning sunlight energizes me.",Affirmation,Subjective,Happiness
"Earth's core is as hot as Sun.",Affirmation,Factual,Neutral
"Social media drains me.",Affirmation,Subjective,Sadness
"Flamingos pink comes from diet.",Affirmation,Factual,Neutral
"Meaningful conversations fulfill me.",Affirmation,Subjective,Happiness
"Bamboo grows 35 inches/day.",Affirmation,Factual,Neutral
"Unfair criticism stings.",Affirmation,Subjective,Sadness
"Snakes smell with tongues.",Affirmation,Factual,Neutral
"Personal growth excites me!",Affirmation,Subjective,Euphoria
"Human hair contains gold.",Affirmation,Factual,Neutral
"Broken trust devastates me.",Affirmation,Subjective,Sadness
"Elephants mourn their dead.",Affirmation,Factual,Neutral
"Creative projects fuel me.",Affirmation,Subjective,Happiness
"Sound travels faster underwater.",Affirmation,Factual,Neutral
"Unanswered questions haunt me.",Affirmation,Subjective,Sadness
"Banana plants are herbs.",Affirmation,Factual,Neutral
"Team successes thrill me!",Affirmation,Subjective,Euphoria
"Water has 3 states of matter.",Affirmation,Factual,Neutral
"Unkept gardens depress me.",Affirmation,Subjective,Sadness
"Gold is edible.",Affirmation,Factual,Neutral
"Cultural diversity enriches me.",Affirmation,Subjective,Happiness
"Light takes 8 minutes from Sun.",Affirmation,Factual,Neutral
"Unread books guilt-trip me.",Affirmation,Subjective,Sadness
"Koalas have unique fingerprints.",Affirmation,Factual,Neutral
"Personal achievements motivate me.",Affirmation,Subjective,Happiness
"Earth has 8.7 million species.",Affirmation,Factual,Neutral
"Unhealthy relationships drain me.",Affirmation,Subjective,Sadness
"Oxygen is colorless.",Affirmation,Factual,Neutral
"Morning birdsong uplifts me.",Affirmation,Subjective,Happiness
"Sharks detect electricity.",Affirmation,Factual,Neutral
"Creative blocks frustrate me.",Affirmation,Subjective,Anger
"Human nails grow 3mm/month.",Affirmation,Factual,Neutral
"Financial security comforts me.",Affirmation,Subjective,Neutral
"Ants farm aphids.",Affirmation,Factual,Neutral
"Unprocessed trauma affects me.",Affirmation,Subjective,Sadness
"Fingernails grow faster than toes.",Affirmation,Factual,Neutral
"Self-care routines restore me.",Affirmation,Subjective,Happiness
"Earth's magnetic field shifts.",Affirmation,Factual,Neutral
"Unresolved mysteries intrigue me.",Affirmation,Subjective,Neutral
"Octopus blood is blue.",Affirmation,Factual,Neutral
"Unjust systems anger me.",Affirmation,Subjective,Anger
"Human ears never stop growing.",Affirmation,Factual,Neutral
"Cultural exchanges enlighten me.",Affirmation,Subjective,Happiness
"Sun produces 384 yottawatts.",Affirmation,Factual,Neutral
"Unspoken words burden me.",Affirmation,Subjective,Sadness
"Pineapples take 2 years to grow.",Affirmation,Factual,Neutral
"Artistic expression fulfills me.",Affirmation,Subjective,Euphoria
"Human liver regenerates.",Affirmation,Factual,Neutral
"Unfinished projects stress me.",Affirmation,Subjective,Anger
"Birds descended from dinosaurs.",Affirmation,Factual,Neutral
"Morning runs invigorate me.",Affirmation,Subjective,Happiness
"Water covers 71% of Earth.",Affirmation,Factual,Neutral
"Unresolved grief lingers.",Affirmation,Subjective,Sadness
"Human skin sheds 40lbs lifetime.",Affirmation,Factual,Neutral
"Intellectual debates stimulate me.",Affirmation,Subjective,Euphoria
"Desert sand can sing.",Affirmation,Factual,Neutral
"Unhealthy food tempts me.",Affirmation,Subjective,Anger
"Human heart beats 100,000/day.",Affirmation,Factual,Neutral
"Personal space rejuvenates me.",Affirmation,Subjective,Happiness
"Moon causes Earth tides.",Affirmation,Factual,Neutral
"Unchecked ambition worries me.",Affirmation,Subjective,Sadness
"Human brain 60% fat.",Affirmation,Factual,Neutral
"Musical harmony moves me.",Affirmation,Subjective,Euphoria
"Volcanoes create new land.",Affirmation,Factual,Neutral
"Unfiltered opinions offend me.",Affirmation,Subjective,Anger
"Human lungs surface=tennis court.",Affirmation,Factual,Neutral
"Nature documentaries calm me.",Affirmation,Subjective,Neutral
"Stars twinkle due to turbulence.",Affirmation,Factual,Neutral
"Uncertain future frightens me.",Affirmation,Subjective,Sadness
"Human skeleton renews every 10y.",Affirmation,Factual,Neutral
"Scientific discoveries excite me!",Affirmation,Subjective,Euphoria
"Rainbows form at 42 degrees.",Affirmation,Factual,Neutral
"Unwanted advice annoys me.",Affirmation,Subjective,Anger
"Human eye distinguishes 500 gray shades.",Affirmation,Factual,Neutral
"Historical novels educate me.",Affirmation,Subjective,Neutral
"Earth's circumference 24,901 miles.",Affirmation,Factual,Neutral
"Unmet expectations disappoint me.",Affirmation,Subjective,Sadness
"Human tongue has unique print.",Affirmation,Factual,Neutral
"Technological progress inspires me.",Affirmation,Subjective,Happiness
"Northern Lights solar particles.",Affirmation,Factual,Neutral
"Unnecessary noise irritates me.",Affirmation,Subjective,Anger
"Human hair supports 100g weight.",Affirmation,Factual,Neutral
"Learning languages challenges me.",Affirmation,Subjective,Neutral
"Earth's inner core solid iron.",Affirmation,Factual,Neutral
"Unseen efforts discourage me.",Affirmation,Subjective,Sadness
"Dolphins do not breathe underwater.",Negation,Factual,Neutral  
"The Earth is not flat.",Negation,Factual,Neutral  
"Gold is not edible in large quantities.",Negation,Factual,Neutral  
"Sharks are not mammals.",Negation,Factual,Neutral  
"Bats are not blind.",Negation,Factual,Neutral  
"Tomatoes are not vegetables.",Negation,Factual,Neutral  
"Venus is not the hottest planet in our solar system.",Negation,Factual,Neutral  
"Lightning does not strike the same place twice.",Negation,Factual,Neutral  
"Humans do not have only five senses.",Negation,Factual,Neutral  
"The Great Wall of China cannot be seen from space.",Negation,Factual,Neutral  
"Chameleons do not change color for camouflage.",Negation,Factual,Neutral  
"Mount Everest is not the tallest mountain from base to peak.",Negation,Factual,Neutral  
"Humans cannot regrow lost limbs.",Negation,Factual,Neutral  
"Bulls are not enraged by the color red.",Negation,Factual,Neutral  
"Water does not conduct electricity.",Negation,Factual,Neutral  
"Bananas do not grow on trees.",Negation,Factual,Neutral  
"Vikings did not wear horned helmets.",Negation,Factual,Neutral  
"Ostriches do not bury their heads in sand.",Negation,Factual,Neutral  
"Glass is not a liquid.",Negation,Factual,Neutral  
"Cold weather does not cause colds.",Negation,Factual,Neutral  
"Humans cannot digest grass.",Negation,Factual,Neutral  
"Einstein did not fail math.",Negation,Factual,Neutral  
"Lemmings do not commit mass suicide.",Negation,Factual,Neutral  
"Light does not travel infinitely fast.",Negation,Factual,Neutral  
"Birds are not descended from dinosaurs.",Negation,Factual,Neutral  
"Wolves do not howl at the moon.",Negation,Factual,Neutral  
"The appendix is not useless.",Negation,Factual,Neutral  
"Sound cannot travel in a vacuum.",Negation,Factual,Neutral  
"Humans do not use only 10% of their brains.",Negation,Factual,Neutral  
"Polar bears do not have white fur.",Negation,Factual,Neutral  
"Peanuts are not nuts.",Negation,Factual,Neutral  
"Alcohol does not kill brain cells.",Negation,Factual,Neutral  
"Mars does not have liquid water.",Negation,Factual,Neutral  
"Lightning does not create fire.",Negation,Factual,Neutral  
"Snakes are not slimy.",Negation,Factual,Neutral  
"Einstein did not invent the atomic bomb.",Negation,Factual,Neutral  
"Octopuses do not have three hearts.",Negation,Factual,Neutral  
"Carrots do not improve night vision.",Negation,Factual,Neutral  
"Taste buds are not mapped to specific zones.",Negation,Factual,Neutral  
"Humans cannot breathe while swallowing.",Negation,Factual,Neutral  
"Fingernails do not grow after death.",Negation,Factual,Neutral  
"Black holes are not cosmic vacuums.",Negation,Factual,Neutral  
"Goldfish do not have 3-second memories.",Negation,Factual,Neutral  
"Deoxygenated blood is not blue.",Negation,Factual,Neutral  
"Lightning does not come from clouds.",Negation,Factual,Neutral  
"The human skeleton is not fully replaced every 10 years.",Negation,Factual,Neutral  
"Sharks do not get cancer.",Negation,Factual,Neutral  
"Waking sleepwalkers is not dangerous.",Negation,Factual,Neutral  
"Humans cannot survive without bacteria.",Negation,Factual,Neutral  
"Urinating on jellyfish stings is not helpful.",Negation,Factual,Neutral  
"Microwaves do not destroy nutrients in food.",Negation,Factual,Neutral  
"Einstein was not bad at mathematics.",Negation,Factual,Neutral  
"Taste is not limited to the tongue.",Negation,Factual,Neutral  
"Birds do not abandon chicks touched by humans.",Negation,Factual,Neutral  
"Electric cars are not completely emission-free.",Negation,Factual,Neutral  
"Memory does not work like video recording.",Negation,Factual,Neutral  
"Moon phases are not caused by Earth's shadow.",Negation,Factual,Neutral  
"Vitamin C does not prevent colds.",Negation,Factual,Neutral  
"Yawning is not primarily about oxygen intake.",Negation,Factual,Neutral  
"Organic food is not pesticide-free.",Negation,Factual,Neutral  
"Left/right brain dominance is not scientifically valid.",Negation,Factual,Neutral  
"Lightning can not power a city.",Negation,Factual,Neutral  
"DNA does not determine everything about us.",Negation,Factual,Neutral  
"Neanderthals were not less intelligent than humans.",Negation,Factual,Neutral  
"Infinity is not a number in mathematics.",Negation,Factual,Neutral  
"Bottled water is not safer than tap water.",Negation,Factual,Neutral  
"Glass does not flow downward over time.",Negation,Factual,Neutral  
"Muscle does not weigh more than fat.",Negation,Factual,Neutral  
"5G networks do not cause health hazards.",Negation,Factual,Neutral  
"Centrifugal force is not a real force.",Negation,Factual,Neutral  
"Airplanes do not dump waste mid-flight.",Negation,Factual,Neutral  
"Dark matter is not visible through telescopes.",Negation,Factual,Neutral  
"Mars does not have breathable air.",Negation,Factual,Neutral  
"Antibiotics do not work on viruses.",Negation,Factual,Neutral  
"Sugar does not make children hyperactive.",Negation,Factual,Neutral  
"Black holes are not holes in space.",Negation,Factual,Neutral  
"Fracking does not cause most earthquakes.",Negation,Factual,Neutral  
"Vaccines do not contain microchips.",Negation,Factual,Neutral  
"Astrology is not based on astronomy.",Negation,Factual,Neutral  
"Quantum physics does not enable teleportation.",Negation,Factual,Neutral  
"Aluminum foil does not block all radio waves.",Negation,Factual,Neutral  
"Evolution does not have 'higher' life forms.",Negation,Factual,Neutral  
"CRISPR cannot edit any DNA sequence.",Negation,Factual,Neutral  
"Solar energy is not available 24/7.",Negation,Factual,Neutral  
"Autism is not caused by vaccines.",Negation,Factual,Neutral  
"Nanobots do not exist in vaccines.",Negation,Factual,Neutral  
"Radiation from phones is not ionizing.",Negation,Factual,Neutral  
"Nuclear energy is not inherently dangerous.",Negation,Factual,Neutral  
"Artificial sweeteners do not cause cancer.",Negation,Factual,Neutral  
"GMOs are not harmful by default.",Negation,Factual,Neutral  
"Moon landings were not faked.",Negation,Factual,Neutral  
"Climate change is not a natural cycle.",Negation,Factual,Neutral  
"HIV cannot spread through mosquitoes.",Negation,Factual,Neutral  
"Forensic science is not infallible.",Negation,Factual,Neutral  
"Dinosaurs did not live with humans.",Negation,Factual,Neutral  
"Pterodactyls are not dinosaurs.",Negation,Factual,Neutral  
"Vaccines do not contain fetal tissue.",Negation,Factual,Neutral  
"Einstein did not reject quantum mechanics.",Negation,Factual,Neutral  
"COVID-19 vaccines do not alter DNA.",Negation,Factual,Neutral  
"Astronauts are not weightless due to lack of gravity.",Negation,Factual,Neutral  
"Renewable energy is not free of environmental impact.",Negation,Factual,Neutral  
